,Distance (yds),Elevation (ft),Is Home,Result
0,33,840,1,1
1,33,840,1,1
2,33,840,1,1
3,33,840,1,1
4,33,7,0,1
5,33,7,0,1
6,33,7,0,1
7,33,7,0,1
8,54,7,1,1
9,33,7,0,1
10,33,7,0,1
11,33,7,1,1
12,33,7,0,1
13,34,7,0,1
14,33,7,0,1
15,33,3,1,0
16,45,3,1,0
17,43,3,0,1
18,33,3,0,1
19,33,3,0,1
20,39,20,0,1
21,33,20,1,1
22,33,20,0,1
23,33,20,1,1
24,33,20,0,1
25,45,20,0,0
26,33,20,1,1
27,26,20,0,1
28,33,0,1,1
29,33,0,1,1
30,64,0,0,0
31,26,0,0,1
32,26,0,0,1
33,33,0,1,1
34,39,0,0,1
35,29,0,1,1
36,33,0,0,1
37,55,1070,0,1
38,33,1070,0,1
39,33,1070,0,1
40,20,1070,1,1
41,42,1070,1,1
42,33,1070,0,1
43,34,1070,1,1
44,33,1070,1,1
45,28,1070,1,1
46,33,1070,0,1
47,38,594,1,1
48,33,594,0,1
49,39,594,0,1
50,33,3,0,1
51,32,3,1,1
52,33,3,0,1
53,56,3,1,0
54,33,3,1,1
55,33,3,0,1
56,33,3,1,1
57,33,3,1,1
58,47,3,1,1
59,25,3,0,1
60,58,3,1,1
61,33,141,1,1
62,33,141,0,0
63,33,141,1,1
64,40,141,1,1
65,46,141,0,0
66,44,141,0,1
67,33,141,1,1
68,33,141,0,1
69,29,141,0,0
70,33,7,0,1
71,27,7,0,1
72,33,7,1,1
73,33,7,0,1
74,37,7,1,1
75,25,7,0,1
76,23,7,1,1
77,46,7,0,1
78,33,7,0,1
79,33,7,0,1
80,35,7,0,1
81,33,7,1,1
82,53,748,1,0
83,49,748,0,1
84,33,748,0,1
85,56,748,0,1
86,46,748,1,1
87,27,748,0,1
88,33,748,1,1
89,33,748,0,1
90,52,748,1,1
91,33,748,1,1
92,33,748,0,1
93,41,748,0,0
94,33,748,1,1
95,33,645,0,1
96,33,645,1,1
97,33,645,1,1
98,33,645,1,1
99,28,645,0,1
100,33,645,1,1
101,33,645,1,1
102,33,645,0,1
103,33,289,1,1
104,25,289,1,1
105,33,289,1,1
106,41,289,1,1
107,19,289,0,1
108,33,289,1,1
109,35,289,1,1
110,39,289,1,1
111,29,26,0,1
112,33,26,1,1
113,36,26,0,1
114,33,26,0,1
115,33,26,0,1
116,33,26,1,1
117,57,26,0,0
118,31,26,1,1
119,47,26,0,1
120,33,584,1,0
121,37,584,0,1
122,33,584,0,1
123,53,584,0,1
124,33,584,1,1
125,33,584,0,1
126,33,584,0,1
127,33,584,0,1
128,33,584,0,1
129,33,30,0,1
130,41,30,0,1
131,33,30,0,1
132,33,30,1,1
133,48,30,0,1
134,33,30,1,1
135,33,30,1,1
136,22,30,1,1
137,33,30,0,1
138,33,25,1,1
139,22,25,0,1
140,33,25,1,1
141,21,25,0,1
142,33,25,1,1
143,20,25,0,1
144,28,25,1,1
145,51,25,1,1
146,33,3,1,1
147,33,3,0,1
148,33,3,0,1
149,33,3,0,1
150,47,3,1,0
151,33,3,1,1
152,33,3,0,1
153,43,5280,1,1
154,40,5280,0,1
155,52,5280,0,1
156,33,5280,0,1
157,32,5280,1,1
158,53,5280,0,1
159,23,3,0,1
160,48,3,0,1
161,33,3,0,1
162,46,3,1,1
163,43,3,0,1
164,33,3,0,1
165,33,450,1,1
166,33,450,0,1
167,33,450,0,1
168,33,450,0,1
169,33,450,1,1
170,25,450,0,1
171,33,450,0,1
172,33,450,1,1
173,33,430,0,1
174,33,430,1,1
175,33,430,0,0
176,33,430,1,1
177,49,430,1,1
178,45,430,1,0
179,33,430,0,0
180,39,50,1,1
181,40,50,0,1
182,22,50,1,1
183,33,50,1,1
184,32,50,0,1
185,28,0,1,1
186,33,0,1,1
187,33,0,0,1
188,33,0,0,1
189,33,0,0,1
190,33,0,0,1
191,33,646,0,1
192,33,646,1,0
193,40,646,1,0
194,39,646,0,1
195,39,646,0,0
196,41,646,0,0
197,33,646,1,1
198,33,640,1,1
199,47,640,0,0
200,33,640,1,1
201,33,640,1,1
202,33,640,0,1
203,31,640,0,1
204,48,640,0,0
205,33,7,0,1
206,48,7,0,0
207,33,7,0,0
208,28,7,0,1
209,33,7,0,1
210,33,7,0,1
211,33,7,0,1
212,33,7,0,0
213,24,233,1,1
214,34,233,0,1
215,22,233,1,1
216,52,233,0,1
217,33,233,1,1
218,33,233,1,1
219,42,233,0,1
220,33,233,1,1
221,50,1050,1,1
222,34,1050,0,1
223,50,1050,1,0
224,33,1050,1,1
225,41,1050,0,1
226,33,1050,1,1
227,33,1050,1,1
228,33,750,1,1
229,33,750,0,1
230,41,750,1,1
231,58,750,0,0
232,33,750,0,1
233,33,750,1,1
234,33,750,0,1
235,33,750,0,1
236,33,750,1,1
237,33,482,0,1
238,33,482,1,1
239,33,482,0,1
240,52,482,1,0
241,33,482,0,1
242,37,482,1,1
243,33,482,0,1
244,33,482,0,1
245,38,482,0,1
246,33,482,0,1
247,39,482,0,0
248,33,482,1,1
249,39,748,0,1
250,32,748,1,1
251,37,748,1,1
252,33,748,0,1
253,54,748,1,1
254,51,748,1,1
255,33,748,0,1
256,42,748,0,0
257,32,748,0,1
258,49,710,1,1
259,33,710,1,1
260,21,710,1,1
261,34,710,0,1
262,33,710,1,1
263,33,710,0,1
264,33,710,0,1
265,33,710,1,1
266,33,710,0,1
267,33,1020,1,1
268,33,1020,1,1
269,33,1020,1,0
270,42,1020,1,1
271,33,1020,0,1
272,33,1020,1,1
273,39,1020,0,1
274,36,1020,1,1
275,33,1070,1,1
276,33,1070,0,1
277,34,1070,1,1
278,33,1070,0,1
279,33,1070,1,1
280,33,1070,0,1
281,48,1070,1,1
282,33,1070,0,1
283,33,1070,0,1
284,36,1070,0,1
285,33,450,0,1
286,43,450,1,0
287,33,450,0,1
288,33,450,0,1
289,33,450,0,1
290,35,450,1,1
291,44,450,0,0
292,38,450,0,1
293,34,597,1,1
294,45,597,1,1
295,62,597,1,0
296,33,597,0,1
297,33,597,0,1
298,43,597,0,1
299,33,597,1,1
300,33,640,1,1
301,33,640,0,1
302,42,640,1,1
303,30,640,0,1
304,33,640,1,1
305,33,640,1,1
306,33,640,0,0
307,41,640,1,1
308,45,640,1,0
309,25,30,1,1
310,33,30,0,1
311,33,30,1,1
312,33,30,0,1
313,25,30,0,1
314,33,30,0,1
315,33,30,1,1
316,33,30,0,1
317,33,30,1,1
318,46,30,0,0
319,33,141,1,1
320,33,141,1,1
321,33,141,0,1
322,33,141,1,1
323,56,141,0,0
324,33,141,0,1
325,33,141,0,1
326,33,141,0,0
327,43,141,1,1
328,53,584,0,1
329,23,584,1,1
330,48,584,0,0
331,35,584,1,1
332,33,584,0,1
333,33,584,1,1
334,33,584,0,1
335,37,584,0,1
336,47,645,0,0
337,28,645,1,1
338,33,645,1,1
339,21,645,0,1
340,33,645,0,1
341,33,645,1,1
342,33,645,1,1
343,55,645,1,0
344,33,645,1,1
345,33,20,0,1
346,33,20,1,1
347,33,20,0,0
348,33,20,0,1
349,33,20,0,1
350,33,20,1,1
351,33,20,1,1
352,33,26,1,0
353,36,26,0,1
354,33,26,1,0
355,33,26,0,1
356,47,26,1,1
