,Distance (scaled),Elevation (scaled),Wind (scaled),Is snowing,Result
0,33,840,0.0,0,1
1,33,840,0.0,0,1
2,33,840,0.0,0,1
3,33,840,0.0,0,1
4,33,7,8.0,0,1
5,33,7,8.0,0,1
6,33,7,8.0,0,1
7,33,7,8.0,0,1
8,54,7,8.0,0,1
9,33,7,8.0,0,1
10,33,7,8.0,0,1
11,33,7,8.0,0,1
12,33,7,8.0,0,1
13,34,7,8.0,0,1
14,33,7,8.0,0,1
15,33,3,6.0,0,0
16,45,3,6.0,0,0
17,43,3,6.0,0,1
18,33,3,6.0,0,1
19,33,3,6.0,0,1
20,39,20,7.0,0,1
21,33,20,7.0,0,1
22,33,20,7.0,0,1
23,33,20,7.0,0,1
24,33,20,7.0,0,1
25,45,20,7.0,0,0
26,33,20,7.0,0,1
27,26,20,7.0,0,1
28,33,0,15.0,0,1
29,33,0,15.0,0,1
30,64,0,15.0,0,0
31,26,0,15.0,0,1
32,26,0,15.0,0,1
33,33,0,15.0,0,1
34,39,0,15.0,0,1
35,29,0,15.0,0,1
36,33,0,15.0,0,1
37,55,1070,0.0,0,1
38,33,1070,0.0,0,1
39,33,1070,0.0,0,1
40,20,1070,0.0,0,1
41,42,1070,0.0,0,1
42,33,1070,0.0,0,1
43,34,1070,0.0,0,1
44,33,1070,0.0,0,1
45,28,1070,0.0,0,1
46,33,1070,0.0,0,1
47,38,594,10.0,0,1
48,33,594,10.0,0,1
49,39,594,10.0,0,1
50,33,3,0.0,0,1
51,32,3,0.0,0,1
52,33,3,0.0,0,1
53,56,3,0.0,0,0
54,33,3,0.0,0,1
55,33,3,0.0,0,1
56,33,3,0.0,0,1
57,33,3,0.0,0,1
58,47,3,0.0,0,1
59,25,3,0.0,0,1
60,58,3,0.0,0,1
61,33,141,10.0,0,1
62,33,141,10.0,0,0
63,33,141,10.0,0,1
64,40,141,10.0,0,1
65,46,141,10.0,0,0
66,44,141,10.0,0,1
67,33,141,10.0,0,1
68,33,141,10.0,0,1
69,29,141,10.0,0,0
70,33,7,6.0,0,1
71,27,7,6.0,0,1
72,33,7,6.0,0,1
73,33,7,6.0,0,1
74,37,7,6.0,0,1
75,25,7,6.0,0,1
76,23,7,6.0,0,1
77,46,7,6.0,0,1
78,33,7,6.0,0,1
79,33,7,6.0,0,1
80,35,7,6.0,0,1
81,33,7,6.0,0,1
82,53,748,3.0,0,0
83,49,748,3.0,0,1
84,33,748,3.0,0,1
85,56,748,3.0,0,1
86,46,748,3.0,0,1
87,27,748,3.0,0,1
88,33,748,3.0,0,1
89,33,748,3.0,0,1
90,52,748,3.0,0,1
91,33,748,3.0,0,1
92,33,748,3.0,0,1
93,41,748,3.0,0,0
94,33,748,3.0,0,1
95,33,645,0.0,0,1
96,33,645,0.0,0,1
97,33,645,0.0,0,1
98,33,645,0.0,0,1
99,28,645,0.0,0,1
100,33,645,0.0,0,1
101,33,645,0.0,0,1
102,33,645,0.0,0,1
103,33,289,2.0,0,1
104,25,289,2.0,0,1
105,33,289,2.0,0,1
106,41,289,2.0,0,1
107,19,289,2.0,0,1
108,33,289,2.0,0,1
109,35,289,2.0,0,1
110,39,289,2.0,0,1
111,29,26,9.0,0,1
112,33,26,9.0,0,1
113,36,26,9.0,0,1
114,33,26,9.0,0,1
115,33,26,9.0,0,1
116,33,26,9.0,0,1
117,57,26,9.0,0,0
118,31,26,9.0,0,1
119,47,26,9.0,0,1
120,33,584,10.0,0,0
121,37,584,10.0,0,1
122,33,584,10.0,0,1
123,53,584,10.0,0,1
124,33,584,10.0,0,1
125,33,584,10.0,0,1
126,33,584,10.0,0,1
127,33,584,10.0,0,1
128,33,584,10.0,0,1
129,33,30,4.0,0,1
130,41,30,4.0,0,1
131,33,30,4.0,0,1
132,33,30,4.0,0,1
133,48,30,4.0,0,1
134,33,30,4.0,0,1
135,33,30,4.0,0,1
136,22,30,4.0,0,1
137,33,30,4.0,0,1
138,33,25,8.0,0,1
139,22,25,8.0,0,1
140,33,25,8.0,0,1
141,21,25,8.0,0,1
142,33,25,8.0,0,1
143,20,25,8.0,0,1
144,28,25,8.0,0,1
145,51,25,8.0,0,1
146,33,3,5.0,0,1
147,33,3,5.0,0,1
148,33,3,5.0,0,1
149,33,3,5.0,0,1
150,47,3,5.0,0,0
151,33,3,5.0,0,1
152,33,3,5.0,0,1
153,43,5280,3.0,0,1
154,40,5280,3.0,0,1
155,52,5280,3.0,0,1
156,33,5280,3.0,0,1
157,32,5280,3.0,0,1
158,53,5280,3.0,0,1
159,23,3,3.0,0,1
160,48,3,3.0,0,1
161,33,3,3.0,0,1
162,46,3,3.0,0,1
163,43,3,3.0,0,1
164,33,3,3.0,0,1
165,33,450,7.0,0,1
166,33,450,7.0,0,1
167,33,450,7.0,0,1
168,33,450,7.0,0,1
169,33,450,7.0,0,1
170,25,450,7.0,0,1
171,33,450,7.0,0,1
172,33,450,7.0,0,1
173,33,430,1.0,0,1
174,33,430,1.0,0,1
175,33,430,1.0,0,0
176,33,430,1.0,0,1
177,49,430,1.0,0,1
178,45,430,1.0,0,0
179,33,430,1.0,0,0
180,39,50,0.0,0,1
181,40,50,0.0,0,1
182,22,50,0.0,0,1
183,33,50,0.0,0,1
184,32,50,0.0,0,1
185,28,0,13.0,0,1
186,33,0,13.0,0,1
187,33,0,13.0,0,1
188,33,0,13.0,0,1
189,33,0,13.0,0,1
190,33,0,13.0,0,1
191,33,646,0.0,0,1
192,33,646,0.0,0,0
193,40,646,0.0,0,0
194,39,646,0.0,0,1
195,39,646,0.0,0,0
196,41,646,0.0,0,0
197,33,646,0.0,0,1
198,33,640,5.0,0,1
199,47,640,5.0,0,0
200,33,640,5.0,0,1
201,33,640,5.0,0,1
202,33,640,5.0,0,1
203,31,640,5.0,0,1
204,33,7,4.0,0,1
205,48,7,4.0,0,0
206,33,7,4.0,0,0
207,28,7,4.0,0,1
208,33,7,4.0,0,1
209,33,7,4.0,0,1
210,33,7,4.0,0,1
211,33,7,4.0,0,0
212,24,233,4.0,0,1
213,34,233,4.0,0,1
214,22,233,4.0,0,1
215,52,233,4.0,0,1
216,33,233,4.0,0,1
217,33,233,4.0,0,1
218,42,233,4.0,0,1
219,33,233,4.0,0,1
220,50,1050,0.0,0,1
221,34,1050,0.0,0,1
222,50,1050,0.0,0,0
223,33,1050,0.0,0,1
224,41,1050,0.0,0,1
225,33,1050,0.0,0,1
226,33,1050,0.0,0,1
227,33,750,3.0,0,1
228,33,750,3.0,0,1
229,41,750,3.0,0,1
230,58,750,3.0,0,0
231,33,750,3.0,0,1
232,33,750,3.0,0,1
233,33,750,3.0,0,1
234,33,750,3.0,0,1
235,33,750,3.0,0,1
236,33,482,5.0,0,1
237,33,482,5.0,0,1
238,33,482,5.0,0,1
239,52,482,5.0,0,0
240,33,482,5.0,0,1
241,37,482,5.0,0,1
242,33,482,5.0,0,1
243,33,482,5.0,0,1
244,38,482,5.0,0,1
245,33,482,5.0,0,1
246,39,482,5.0,0,0
247,33,482,5.0,0,1
248,39,748,3.0,0,1
249,32,748,3.0,0,1
250,37,748,3.0,0,1
251,33,748,3.0,0,1
252,54,748,3.0,0,1
253,51,748,3.0,0,1
254,33,748,3.0,0,1
255,42,748,3.0,0,0
256,32,748,3.0,0,1
257,49,710,0.0,0,1
258,33,710,0.0,0,1
259,21,710,0.0,0,1
260,34,710,0.0,0,1
261,33,710,0.0,0,1
262,33,710,0.0,0,1
263,33,710,0.0,0,1
264,33,710,0.0,0,1
265,33,710,0.0,0,1
266,33,1020,0.0,0,1
267,33,1020,0.0,0,1
268,33,1020,0.0,0,0
269,42,1020,0.0,0,1
270,33,1020,0.0,0,1
271,33,1020,0.0,0,1
272,39,1020,0.0,0,1
273,36,1020,0.0,0,1
274,33,1070,0.0,0,1
275,33,1070,0.0,0,1
276,34,1070,0.0,0,1
277,33,1070,0.0,0,1
278,33,1070,0.0,0,1
279,33,1070,0.0,0,1
280,48,1070,0.0,0,1
281,33,1070,0.0,0,1
282,33,1070,0.0,0,1
283,36,1070,0.0,0,1
284,33,450,5.0,0,1
285,43,450,5.0,0,0
286,33,450,5.0,0,1
287,33,450,5.0,0,1
288,33,450,5.0,0,1
289,35,450,5.0,0,1
290,44,450,5.0,0,0
291,38,450,5.0,0,1
292,34,597,13.0,0,1
293,45,597,13.0,0,1
294,62,597,13.0,0,0
295,33,597,13.0,0,1
296,33,597,13.0,0,1
297,43,597,13.0,0,1
298,33,597,13.0,0,1
299,33,640,7.0,0,1
300,33,640,7.0,0,1
301,42,640,7.0,0,1
302,30,640,7.0,0,1
303,33,640,7.0,0,1
304,33,640,7.0,0,1
305,33,640,7.0,0,0
306,41,640,7.0,0,1
307,45,640,7.0,0,0
308,25,30,7.0,0,1
309,33,30,7.0,0,1
310,33,30,7.0,0,1
311,33,30,7.0,0,1
312,25,30,7.0,0,1
313,33,30,7.0,0,1
314,33,30,7.0,0,1
315,33,30,7.0,0,1
316,33,30,7.0,0,1
317,33,141,4.0,0,1
318,33,141,4.0,0,1
319,33,141,4.0,0,1
320,33,141,4.0,0,1
321,56,141,4.0,0,0
322,33,141,4.0,0,1
323,33,141,4.0,0,1
324,33,141,4.0,0,0
325,43,141,4.0,0,1
326,53,584,12.0,0,1
327,23,584,12.0,0,1
328,48,584,12.0,0,0
329,35,584,12.0,0,1
330,33,584,12.0,0,1
331,33,584,12.0,0,1
332,33,584,12.0,0,1
333,37,584,12.0,0,1
334,47,645,0.0,0,0
335,28,645,0.0,0,1
336,33,645,0.0,0,1
337,21,645,0.0,0,1
338,33,645,0.0,0,1
339,33,645,0.0,0,1
340,33,645,0.0,0,1
341,55,645,0.0,0,0
342,33,645,0.0,0,1
343,33,20,8.0,0,1
344,33,20,8.0,0,1
345,33,20,8.0,0,0
346,33,20,8.0,0,1
347,33,20,8.0,0,1
348,33,20,8.0,0,1
349,33,20,8.0,0,1
350,33,26,11.0,0,0
351,36,26,11.0,0,1
352,33,26,11.0,0,1
353,47,26,11.0,0,1
354,27,26,11.0,0,1
355,33,26,11.0,0,1
356,52,26,11.0,0,1
357,33,26,11.0,0,1
358,23,26,11.0,0,1
359,33,26,11.0,0,1
360,34,26,11.0,0,0
361,33,289,10.0,0,0
362,33,289,10.0,0,1
363,33,289,10.0,0,1
364,37,289,10.0,0,1
365,33,289,10.0,0,1
366,33,289,10.0,0,1
